,Strain,Fluor1 mean
222,acrAB,520.551724137931
223,acrAB,520.5777777777778
224,acrAB,516.703125
225,acrAB,519.5555555555555
226,acrAB,520.8294573643411
227,acrAB,505.33962264150944
228,acrAB,520.8981481481482
229,acrAB,518.392
230,acrAB,517.4555555555555
231,acrAB,507.1181818181818
232,acrAB,514.8669950738916
233,acrAB,518.6055555555556
234,acrAB,515.2878048780487
235,acrAB,512.1179775280899
236,acrAB,513.5598086124402
237,acrAB,521.2836879432624
238,acrAB,508.0308641975309
239,acrAB,513.2928870292887
240,acrAB,519.1401869158879
241,acrAB,517.0
242,acrAB,525.4604316546763
243,acrAB,514.5736040609137
244,acrAB,520.1774193548387
245,acrAB,520.6818181818181
246,acrAB,517.7857142857143
247,acrAB,523.6650246305419
248,acrAB,506.8292682926829
249,acrAB,518.6160714285714
250,acrAB,516.0413223140496
251,acrAB,520.9470899470899
252,acrAB,521.4770642201835
253,acrAB,516.1190476190476
254,acrAB,521.1666666666666
255,acrAB,520.3384615384615
256,acrAB,519.8232558139534
257,acrAB,513.7188612099644
258,acrAB,527.1521739130435
259,acrAB,521.6951871657755
260,acrAB,506.97076023391816
261,acrAB,524.1293532338309
262,acrAB,515.9036144578313
263,acrAB,516.680412371134
264,acrAB,519.1920529801324
265,acrAB,511.21268656716416
266,acrAB,513.5227272727273
267,acrAB,520.5980392156863
268,acrAB,516.6198347107438
269,acrAB,521.1164383561644
270,acrAB,511.5074626865672
271,acrAB,521.9803921568628
272,acrAB,513.3933649289099
273,acrAB,516.0573065902579
274,acrAB,522.0334346504559
275,acrAB,516.5
276,acrAB,520.0
277,acrAB,509.80737704918033
278,acrAB,515.2874251497007
279,acrAB,513.6434782608695
280,acrAB,511.3694915254237
281,acrAB,521.3619047619047
282,acrAB,519.70796460177
283,acrAB,513.083916083916
284,acrAB,524.3360655737705
285,acrAB,516.9652173913043
286,acrAB,520.472972972973
287,acrAB,513.4098360655738
288,acrAB,520.9072164948453
289,acrAB,526.3846153846154
290,acrAB,516.790909090909
291,acrAB,530.3763440860215
292,acrAB,526.301775147929
293,acrAB,518.5746268656717
294,acrAB,521.0088495575221
295,acrAB,516.6397058823529
296,acrAB,517.1286549707602
297,acrAB,526.330985915493
298,acrAB,514.0496894409938
299,acrAB,517.0728476821192
300,acrAB,518.6111111111111
301,acrAB,517.1463414634146
302,acrAB,523.5431034482758
303,acrAB,522.9571428571429
304,acrAB,521.9946524064171
305,acrAB,515.5762711864406
306,acrAB,514.7368421052631
307,acrAB,530.4526315789474
308,acrAB,523.125
309,acrAB,521.0987654320987
310,acrAB,518.6883116883117
311,acrAB,525.9047619047619
312,acrAB,512.9526315789474
313,acrAB,527.5555555555555
314,acrAB,534.4054054054054
315,acrAB,520.4556962025316
316,acrAB,511.90334572490707
317,acrAB,521.7777777777778
318,acrAB,513.2088353413654
319,acrAB,521.5
320,acrAB,520.0081967213115
321,acrAB,520.1756756756756
322,acrAB,520.5294117647059
323,acrAB,517.8537735849056
324,acrAB,514.2893401015228
325,acrAB,516.7205882352941
326,acrAB,514.09375
327,acrAB,520.3703703703703
328,acrAB,513.9795918367347
329,acrAB,528.325
330,acrAB,516.1408450704225
331,acrAB,522.0884955752213
332,acrAB,516.1162790697674
333,acrAB,515.6470588235294
334,acrAB,514.7783783783784
335,acrAB,514.1043956043956
336,acrAB,520.0757575757576
337,acrAB,520.4623655913979
338,acrAB,519.7251908396946
339,acrAB,518.1214953271028
340,acrAB,516.8992805755396
341,acrAB,513.3909090909091
342,acrAB,528.1123595505618
343,acrAB,522.6763636363636
344,acrAB,515.7245762711865
345,acrAB,508.8965517241379
346,acrAB,540.3818181818182
347,acrAB,548.0110497237569
348,acrAB,518.1436464088398
349,acrAB,520.2072072072073
350,acrAB,526.9444444444445
351,acrAB,518.0408163265306
352,acrAB,524.4291497975709
353,acrAB,514.8378378378378
354,acrAB,524.1013513513514
355,acrAB,524.3701298701299
356,acrAB,514.6111111111111
357,acrAB,521.4653465346535
358,acrAB,517.4423076923077
359,acrAB,585.5192307692307
360,acrAB,561.6981132075472
361,acrAB,605.9310344827586
362,acrAB,589.1
363,acrAB,568.5535714285714
364,acrAB,582.6290322580645
365,acrAB,643.5555555555555
366,acrAB,609.1363636363636
367,acrAB,596.4814814814815
368,acrAB,584.9846153846154
369,acrAB,607.5092592592592
370,acrAB,623.0612244897959
371,acrAB,574.2474226804123
372,acrAB,577.2621359223301
373,acrAB,593.6794871794872
374,acrAB,586.060606060606
375,acrAB,609.8378378378378
376,acrAB,634.289156626506
377,acrAB,670.3636363636364
378,acrAB,625.136
379,acrAB,657.2469135802469
380,acrAB,590.8515625
381,acrAB,605.7266666666667
382,acrAB,592.1680672268908
383,acrAB,552.8134328358209
384,acrAB,574.1184210526316
385,acrAB,567.2941176470588
386,acrAB,582.5625
387,acrAB,591.3658536585366
388,acrAB,592.2929292929293
389,acrAB,611.4415954415955
390,acrAB,608.1818181818181
391,acrAB,620.8
392,acrAB,628.3018867924528
393,acrAB,616.5020080321285
394,acrAB,600.4627249357327
395,acrAB,604.6770833333334
396,acrAB,677.063492063492
397,acrAB,571.7692307692307
398,acrAB,613.1896551724138
399,acrAB,637.8478260869565
400,acrAB,606.4070981210856
401,acrAB,623.5068493150685
402,acrAB,626.1666666666666
403,acrAB,621.5578231292517
404,acrAB,587.8172043010753
405,acrAB,674.7363636363636
406,acrAB,564.6969696969697
407,acrAB,627.3609022556391
