,Cell ID,Region num birth,Region num death,Cell birth time,Cell death time,Cell age,Old pole age,Error frame,stat0,Long axis (L) birth,Long axis (L) death,Short axis birth,Short axis death,Area birth,Area death,Region score birth,Region score death,X position birth,Y position birth,Fluor1 sum,Fluor1 mean,Fluor2 sum,Fluor2 mean,Num of neighbors,Region gray val,Focus1(1) long axis birth,Focus1(1) short axis birth,Focus1(1) score birth,Focus1(1) intensity birth,Focus1(2) long axis birth,Focus1(2) short axis birth,Focus1(2) score birth,Focus1(2) intensity birth,Focus1(3) long axis birth,Focus1(3) short axis birth,Focus1(3) score birth,Focus1(3) intensity birth,Focus1(4) long axis birth,Focus1(4) short axis birth,Focus1(4) score birth,Focus1(4) intensity birth,Focus1(5) long axis birth,Focus1(5) short axis birth,Focus1(5) score birth,Focus1(5) intensity birth,Focus1(1) long axis pole align,Focus1(1) long axis norm pole align,Focus1(1) long axis normalized,Focus1(2) long axis normalized,Focus1(3) long axis normalized,Focus1(4) long axis normalized,Focus1(5) long axis normalized,Focus1(1) short axis normalized,Focus1(2) short axis normalized,Focus1(3) short axis normalized,Focus1(4) short axis normalized,Focus1(5) short axis normalized,Focus1(1) gaussianFitWidth,Focus1(2) gaussianFitWidth,Focus1(3) gaussianFitWidth,Mother ID,Daughter1 ID,Daughter2 ID,dL max,dL min,L death / L birth,Fluor1 sum death,Fluor1 mean death,Fluor2 sum death,Fluor2 mean death,Focus1(1) long axis death,Focus1(1) short axis death,Focus1(1) score death,Focus1(1) intensity death,Focus1(2) long axis death,Focus1(2) short axis death,Focus1(2) score death,Focus1(2) intensity death,Focus1(2) long axis death,Focus1(3) short axis death,Focus1(3) score death,Focus1(3) intensity death,Focus1(4) long axis death,Focus1(4) short axis death,Focus1(4) score death,Focus1(4) intensity death,Focus1(5) long axis death,Focus1(5) short axis death,Focus1(5) score death,Focus1(5) intensity death,Focus1(1) gaussian fit width death,Focus1(2) gaussian fit width death,Focus1(3) gaussian fit width death,Long axis/Short axis birth,Long axis/Short axis death,Neck width,Maximum width,Cell dist to edge,Growth Rate,Time of Death,Strain,Fluor3 mean
0,1.0,1.0,1.0,1.0,1.0,0.0,,,0.0,19.0,19.0,5.49123914571448,5.49123914571448,105.0,105.0,-49.8032296400231,-49.8032296400231,7.40952380952381,116.18095238095238,53307.0,507.6857142857143,92664.0,882.5142857142857,,1854.8666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,53307.0,507.6857142857143,92664.0,882.5142857142857,,,,,,,,,,,,,,,,,,,,,,,,3.4600569189976262,3.4600569189976262,5.49123914571448,7.085760016126339,1.0,,,gadX,
1,2.0,2.0,2.0,1.0,1.0,0.0,,,0.0,34.0,34.0,5.344229039100425,5.344229039100425,182.0,182.0,2.184037200466138,2.184037200466138,56.285714285714285,267.1923076923077,634162.0,3484.4065934065934,166786.0,916.4065934065934,,1894.9615384615386,-10.744476958942132,0.0653291599968866,0.4087847237902515,1.3169228800789365,11.184976406996006,0.15627074999807622,0.23482452015305066,0.8111091013996499,4.960516444581273,-2.0157974925554343,0.32416712591595814,0.668367841847689,,,,,,,,,,,-0.2984576933039481,0.31069378908322237,0.13779212346059092,,,0.007258795555209622,0.017363416666452913,-0.22397749917282603,,,1.5739403212860896,1.7035839780346684,1.0506020419717332,0.0,,,,,,634162.0,3484.4065934065934,166786.0,916.4065934065934,-10.744476958942132,0.0653291599968866,0.4087847237902515,1.3169228800789365,11.184976406996006,0.15627074999807622,0.23482452015305066,0.8111091013996499,4.960516444581273,-2.0157974925554343,0.32416712591595814,0.668367841847689,,,,,,,,,1.5739403212860896,1.7035839780346684,1.0506020419717332,6.362002779305114,6.362002779305114,5.344229039100425,6.049793455122047,1.0,,0.0,gadX,
2,3.0,3.0,3.0,1.0,1.0,0.0,,,0.0,17.0,17.0,5.741000810060551,5.741000810060551,98.0,98.0,-27.610256155644013,-27.610256155644013,54.47959183673469,64.62244897959184,71321.0,727.765306122449,85496.0,872.4081632653061,,1828.704081632653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,71321.0,727.765306122449,85496.0,872.4081632653061,,,,,,,,,,,,,,,,,,,,,,,,2.9611561751061135,2.9611561751061135,5.741000810060551,7.230460870531108,1.0,,,gadX,
3,4.0,4.0,4.0,1.0,1.0,0.0,,,0.0,34.0,34.0,4.9635540569239005,4.9635540569239005,169.0,169.0,34.870824951968295,34.870824951968295,70.65680473372781,50.585798816568044,101112.0,598.2958579881657,149385.0,883.9349112426036,,1931.8579881656806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,101112.0,598.2958579881657,149385.0,883.9349112426036,,,,,,,,,,,,,,,,,,,,,,,,6.849930434941423,6.849930434941423,4.426765014551165,5.986334005918859,1.0,,37.0,gadX,
4,5.0,5.0,5.0,1.0,1.0,0.0,,,0.0,28.0,28.0,5.5157577964739675,5.5157577964739675,155.0,155.0,23.18160039735435,23.18160039735435,75.84516129032258,66.58709677419355,82996.0,535.4580645161291,136381.0,879.8774193548387,,1877.9483870967742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,82996.0,535.4580645161291,136381.0,879.8774193548387,,,,,,,,,,,,,,,,,,,,,,,,5.076365031455773,5.076365031455773,5.025404691696167,6.0321792761484785,1.0,,31.0,gadX,
5,6.0,6.0,6.0,1.0,1.0,0.0,,,0.0,34.0,34.0,5.008839642372315,5.008839642372315,170.0,170.0,34.85634855435927,34.85634855435927,84.03529411764706,286.8058823529412,656573.0,3862.1941176470586,157496.0,926.4470588235295,,1877.6764705882354,12.549642860679896,0.1466297153447833,0.34615964610555316,1.1835279206844618,1.3459897346172882,-0.8478656853390951,0.8587887084656771,0.9410912952765798,-11.910756624547137,0.3269786555142087,0.30670101400941097,0.7965255605183303,-6.446755052255392,0.2578074768253149,0.18775165951148257,0.448244287649465,,,,,,,0.35856122459085416,0.03845684956049395,-0.3403073321299182,-0.18419300149301118,,0.016292190593864813,-0.09420729837101056,0.036330961723800966,0.028645275202812768,,1.635906209873996,0.5733606632287587,1.2780180057086672,0.0,,,,,,656573.0,3862.1941176470586,157496.0,926.4470588235295,12.549642860679896,0.1466297153447833,0.34615964610555316,1.1835279206844618,1.3459897346172882,-0.8478656853390951,0.8587887084656771,0.9410912952765798,-11.910756624547137,0.3269786555142087,0.30670101400941097,0.7965255605183303,-6.446755052255392,0.2578074768253149,0.18775165951148257,0.448244287649465,,,,,1.635906209873996,0.5733606632287587,1.2780180057086672,6.7879993027480365,6.7879993027480365,4.581319142407817,6.155645851126792,1.0,,0.0,gadX,
6,7.0,7.0,7.0,1.0,1.0,0.0,,,0.0,31.0,31.0,5.744784054464122,5.744784054464122,179.0,179.0,33.20563799427142,33.20563799427142,81.49162011173185,22.670391061452513,642550.0,3589.664804469274,154742.0,864.4804469273743,,1829.268156424581,10.66969130289185,0.007658315254209125,0.549251893347809,1.6455673113855822,-12.305137214522444,-0.459795320435914,0.715469501863619,1.3690022762685192,-7.434898308102837,1.0209670132565511,0.3260908284426546,1.0626566346487074,5.448665817687817,1.6302913678962945,0.24368295333475654,0.7470180940660562,,,,,,,0.3233239788755106,-0.3728829458946195,-0.225299948730389,0.1651110853844793,,0.0008509239171343472,-0.051088368937323776,0.1134407792507279,0.1811434853218105,,1.471063761391548,0.9745911064012436,1.616587305665091,0.0,,,,,,642550.0,3589.664804469274,154742.0,864.4804469273743,10.66969130289185,0.007658315254209125,0.549251893347809,1.6455673113855822,-12.305137214522444,-0.459795320435914,0.715469501863619,1.3690022762685192,-7.434898308102837,1.0209670132565511,0.3260908284426546,1.0626566346487074,5.448665817687817,1.6302913678962945,0.24368295333475654,0.7470180940660562,,,,,1.471063761391548,0.9745911064012436,1.616587305665091,5.396199353378776,5.396199353378776,5.656559765649793,6.501699362355187,1.0,,,gadX,
7,8.0,8.0,8.0,1.0,1.0,0.0,,,0.0,28.0,28.0,5.429242360279694,5.429242360279694,152.0,152.0,30.36432889550389,30.36432889550389,100.38815789473684,284.6644736842105,1139816.0,7498.789473684211,138582.0,911.7236842105264,,1855.8684210526317,9.168422973440359,0.18071549641176188,1.0302435462967439,3.6618965020529863,-9.99396392235024,-0.14674210065931637,0.8805677712035626,3.1743738805489383,,,,,,,,,,,,,,,0.3161525163255296,-0.3446194455982841,,,,0.022589437051470235,-0.018342762582414546,,,,1.7845754694221445,1.7477615550023038,,0.0,,,,,,1139816.0,7498.789473684211,138582.0,911.7236842105264,9.168422973440359,0.18071549641176188,1.0302435462967439,3.6618965020529863,-9.99396392235024,-0.14674210065931637,0.8805677712035626,3.1743738805489383,,,,,,,,,,,,,1.7845754694221445,1.7477615550023038,,5.15725733757031,5.15725733757031,5.113891597237853,6.720537416828999,1.0,,0.0,gadX,
8,9.0,9.0,9.0,1.0,1.0,0.0,,,0.0,23.0,23.0,5.94383775317115,5.94383775317115,138.0,138.0,39.32835249521036,39.32835249521036,114.28260869565217,230.2536231884058,71529.0,518.3260869565217,122850.0,890.2173913043479,,1861.4057971014493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,71529.0,518.3260869565217,122850.0,890.2173913043479,,,,,,,,,,,,,,,,,,,,,,,,3.869553805994968,3.869553805994968,5.94383775317115,6.820208901823207,1.0,,29.0,gadX,
9,10.0,10.0,10.0,1.0,1.0,0.0,,,0.0,48.0,48.0,5.4159428248439285,5.4159428248439285,260.0,260.0,49.63989481833164,49.63989481833164,141.03846153846155,426.53846153846155,782064.0,3007.9384615384615,243756.0,937.5230769230769,,1900.746153846154,19.24720794814631,-0.4356981287805386,0.4861027102176485,1.2270839623843997,-18.975217733006588,0.27383520480156776,0.4094609659752645,0.9306146750553352,-5.341747587512716,-1.2541106769534192,0.1865909073216033,0.5463572135402353,5.767933870893949,0.7200656816478008,0.22016898725923356,0.5404234519024105,-12.150486529080533,-1.1168160297121812,0.1532624999872908,0.44365046348905635,,,0.3928001622070676,-0.38724934148993034,-0.10901525688801461,0.11771293614069284,-0.24796911283837822,-0.04841090319783762,0.03042613386684086,-0.13934563077260212,0.08000729796086675,-0.12409066996802014,1.287429503127846,1.1442000413014464,1.4701840909299495,0.0,,,,,,782064.0,3007.9384615384615,243756.0,937.5230769230769,19.24720794814631,-0.4356981287805386,0.4861027102176485,1.2270839623843997,-18.975217733006588,0.27383520480156776,0.4094609659752645,0.9306146750553352,-5.341747587512716,-1.2541106769534192,0.1865909073216033,0.5463572135402353,5.767933870893949,0.7200656816478008,0.22016898725923356,0.5404234519024105,-12.150486529080533,-1.1168160297121812,0.1532624999872908,0.44365046348905635,1.287429503127846,1.1442000413014464,1.4701840909299495,8.86272280789508,8.86272280789508,4.42814549030057,6.347442438373643,1.0,,0.0,gadX,
