,cvs,ld50s,means,strains,values
0,0.06865361583374016,75,544.0925687601928,purA,0.2058054771064628
1,1.1041063145144436,160,920.2401341058523,InaA,0.15337928273450646
2,0.46399912695058615,170,2677.7570904875956,rob,0.13948974194760055
3,0.6574916738552897,85,2786.613407042373,gadX,0.13537312621582565
4,0.17068466247651312,90,593.6565161613987,lacuv5,0.10034848668078067
5,0.203642547761805,85,607.5097116654402,hdeA,0.08601209073055344
6,0.20436432179293337,80,2912.827865856365,crp,0.07762508226967074
7,0.3245584929300669,100,779.0782876179882,tonB,0.06811818065770678
8,0.16392989532412253,125,599.8176514788536,SoxS,0.060488246373261945
9,0.16310812730758406,80,1231.3449311619959,rrnbp1,0.0585348303667641
10,0.9304587785178455,135,2111.0084229665094,acrAB,0.05671828575774704
11,0.17617579322621915,105,2008.1914634024592,sigma70,0.054884340579953284
12,0.2547871866605746,85,665.4393145017445,sodA,0.05214477562576947
13,0.16500219093862212,75,898.7218031700246,CodB,0.04584569121947274
14,0.2142018151144091,110,4194.181806494219,ompF,0.04024290291815591
15,0.015263107961038696,80,518.0156401058159,dnaQ,0.023571071503017405
16,0.05661965834162448,85,564.0374780895561,Fis,0.021813819306823606
