,Cell ID,Region num birth,Region num death,Cell birth time,Cell death time,Cell age,Old pole age,Error frame,stat0,Long axis (L) birth,Long axis (L) death,Short axis birth,Short axis death,Area birth,Area death,Region score birth,Region score death,X position birth,Y position birth,Fluor1 sum,Fluor1 mean,Fluor2 sum,Fluor2 mean,Num of neighbors,Region gray val,Focus1(1) long axis birth,Focus1(1) short axis birth,Focus1(1) score birth,Focus1(1) intensity birth,Focus1(2) long axis birth,Focus1(2) short axis birth,Focus1(2) score birth,Focus1(2) intensity birth,Focus1(3) long axis birth,Focus1(3) short axis birth,Focus1(3) score birth,Focus1(3) intensity birth,Focus1(4) long axis birth,Focus1(4) short axis birth,Focus1(4) score birth,Focus1(4) intensity birth,Focus1(5) long axis birth,Focus1(5) short axis birth,Focus1(5) score birth,Focus1(5) intensity birth,Focus1(1) long axis pole align,Focus1(1) long axis norm pole align,Focus1(1) long axis normalized,Focus1(2) long axis normalized,Focus1(3) long axis normalized,Focus1(4) long axis normalized,Focus1(5) long axis normalized,Focus1(1) short axis normalized,Focus1(2) short axis normalized,Focus1(3) short axis normalized,Focus1(4) short axis normalized,Focus1(5) short axis normalized,Focus1(1) gaussianFitWidth,Focus1(2) gaussianFitWidth,Focus1(3) gaussianFitWidth,Mother ID,Daughter1 ID,Daughter2 ID,dL max,dL min,L death / L birth,Fluor1 sum death,Fluor1 mean death,Fluor2 sum death,Fluor2 mean death,Focus1(1) long axis death,Focus1(1) short axis death,Focus1(1) score death,Focus1(1) intensity death,Focus1(2) long axis death,Focus1(2) short axis death,Focus1(2) score death,Focus1(2) intensity death,Focus1(2) long axis death,Focus1(3) short axis death,Focus1(3) score death,Focus1(3) intensity death,Focus1(4) long axis death,Focus1(4) short axis death,Focus1(4) score death,Focus1(4) intensity death,Focus1(5) long axis death,Focus1(5) short axis death,Focus1(5) score death,Focus1(5) intensity death,Focus1(1) gaussian fit width death,Focus1(2) gaussian fit width death,Focus1(3) gaussian fit width death,Long axis/Short axis birth,Long axis/Short axis death,Neck width,Maximum width,Cell dist to edge,Growth Rate,Time of Death,Strain
0,1.0,1.0,1.0,1.0,1.0,0.0,,,0.0,15.0,15.0,5.556905912774945,5.556905912774945,84.0,84.0,-34.35912939670897,-34.35912939670897,6.571428571428571,273.7857142857143,313519.0,3732.3690476190477,68277.0,812.8214285714286,,1827.3333333333333,4.133202503920151,-1.3065844328577554,0.9573082381531554,3.3691451051090135,-7.235939754860613,-0.8528980022412909,1.3937001263711832,2.692319090524174,,,,,,,,,,,,,,,0.2583251564950094,-0.45224623467878833,,,,-0.14517604809530615,-0.09476644469347677,,,,1.7641866431822224,1.0084757009135839,,0.0,,,,,,313519.0,3732.3690476190477,68277.0,812.8214285714286,4.133202503920151,-1.3065844328577554,0.9573082381531554,3.3691451051090135,-7.235939754860613,-0.8528980022412909,1.3937001263711832,2.692319090524174,,,,,,,,,,,,,1.7641866431822224,1.0084757009135839,,2.699343885869298,2.699343885869298,5.556905912774945,7.092359597794825,1.0,,-1.0,marRAB
1,2.0,2.0,2.0,1.0,1.0,0.0,,,0.0,22.0,22.0,5.454540228467363,5.454540228467363,120.0,120.0,-3.5645124486884336,-3.5645124486884336,21.708333333333332,476.73333333333335,582684.0,4855.7,99357.0,827.975,,1877.0416666666667,-6.822873553236176,-1.5679291350198503,1.4215234861455792,4.343867297188311,6.457834285230305,-1.714625899219096,1.255835845148988,4.209782838738954,-1.919815939644649,-3.019230482928757,0.8220281705685958,1.5963885229847006,,,,,,,,,,,-0.31013061605618986,0.29353792205592294,-0.0872643608929386,,,-0.1959911418774813,-0.214328237402387,-0.3774038103660946,,,1.5276778071577888,1.687947105673664,0.9576037669263324,0.0,,,,,,582684.0,4855.7,99357.0,827.975,-6.822873553236176,-1.5679291350198503,1.4215234861455792,4.343867297188311,6.457834285230305,-1.714625899219096,1.255835845148988,4.209782838738954,-1.919815939644649,-3.019230482928757,0.8220281705685958,1.5963885229847006,,,,,,,,,1.5276778071577888,1.687947105673664,0.9576037669263324,4.033337197731447,4.033337197731447,5.454540228467363,6.243708517591017,1.0,,-1.0,marRAB
2,3.0,3.0,3.0,1.0,1.0,0.0,,,0.0,18.0,18.0,5.881465678611363,5.881465678611363,106.0,106.0,-17.695760340383913,-17.695760340383913,21.5,483.95283018867923,338608.0,3194.4150943396226,87354.0,824.0943396226415,,1849.6132075471698,-5.060959358787992,-1.273097777497822,1.0981893999029833,3.1695381419904924,4.6841317035019285,-1.1680460026564377,0.9061399448035373,2.63108109196987,,,,,,,,,,,,,,,-0.2530479679393996,0.23420658517509643,,,,-0.15913722218722776,-0.1460057503320547,,,,1.4213391830984472,1.4296809338952126,,0.0,,,,,,338608.0,3194.4150943396226,87354.0,824.0943396226415,-5.060959358787992,-1.273097777497822,1.0981893999029833,3.1695381419904924,4.6841317035019285,-1.1680460026564377,0.9061399448035373,2.63108109196987,,,,,,,,,,,,,1.4213391830984472,1.4296809338952126,,3.060461623615199,3.060461623615199,5.881465678611363,7.022588491439819,1.0,,-1.0,marRAB
3,4.0,4.0,4.0,1.0,1.0,0.0,,,0.0,26.0,26.0,6.1298152043311225,6.1298152043311225,160.0,160.0,8.809095762713548,8.809095762713548,33.9,225.18125,750704.0,4691.9,128592.0,803.7,,1841.8625,-10.989152083461569,-0.5504525987772264,1.7114296847210975,5.191142245031488,7.284776833237659,-0.39064143382841454,1.1180075005536454,3.8415996780276673,,,,,,,,,,,,,,,-0.3924697172664846,0.26017060118705926,,,,-0.06116139986413627,-0.043404603758712725,,,,1.5395193598859338,1.725911097741477,,0.0,,,,,,750704.0,4691.9,128592.0,803.7,-10.989152083461569,-0.5504525987772264,1.7114296847210975,5.191142245031488,7.284776833237659,-0.39064143382841454,1.1180075005536454,3.8415996780276673,,,,,,,,,,,,,1.5395193598859338,1.725911097741477,,4.2415634294536755,4.2415634294536755,6.1298152043311225,6.658392969239837,1.0,,-1.0,marRAB
4,5.0,5.0,5.0,1.0,1.0,0.0,,,0.0,30.0,30.0,5.717617737468773,5.717617737468773,172.0,172.0,24.57355860862245,24.57355860862245,75.22674418604652,18.436046511627907,518385.0,3013.8662790697676,135250.0,786.3372093023256,,1876.1860465116279,-12.645028104613154,-0.9434927307008101,0.8328608196260182,2.3477881140206796,9.551121716926964,-1.004849479712889,0.7306799094823997,1.9825655536767242,-7.481166484416341,1.0354532958548526,1.1847552657246339,1.1628108655167453,4.3959252173887595,-1.8097260254876772,0.40618679052431367,1.136004213603115,,,,,,,-0.39515712826916105,0.29847255365396763,-0.23378645263801065,0.13737266304339874,,-0.10483252563342334,-0.11164994219032101,0.11505036620609473,-0.2010806694986308,,1.442805271741223,1.3791337140272426,0.5282477289448366,0.0,,,,,,518385.0,3013.8662790697676,135250.0,786.3372093023256,-12.645028104613154,-0.9434927307008101,0.8328608196260182,2.3477881140206796,9.551121716926964,-1.004849479712889,0.7306799094823997,1.9825655536767242,-7.481166484416341,1.0354532958548526,1.1847552657246339,1.1628108655167453,4.3959252173887595,-1.8097260254876772,0.40618679052431367,1.136004213603115,,,,,1.442805271741223,1.3791337140272426,0.5282477289448366,5.246940487714591,5.246940487714591,5.640961935651831,6.698415279165299,1.0,,58.0,marRAB
5,6.0,6.0,6.0,1.0,1.0,0.0,,,0.0,21.0,21.0,4.721378422400397,4.721378422400397,100.0,100.0,-42.598811299620614,-42.598811299620614,82.19,15.83,279582.0,2795.82,78295.0,782.95,,1973.95,4.630799099135308,-1.1437014614654626,0.5897618286215437,1.7944679163945738,-8.100049376171473,-0.779032281638099,0.4665331390479996,1.0106397078875298,,,,,,,,,,,,,,,0.2013390912667525,-0.3521760598335423,,,,-0.14296268268318282,-0.09737903520476238,,,,1.4720538601722433,0.9905938392812034,,0.0,,,,,,279582.0,2795.82,78295.0,782.95,4.630799099135308,-1.1437014614654626,0.5897618286215437,1.7944679163945738,-8.100049376171473,-0.779032281638099,0.4665331390479996,1.0106397078875298,,,,,,,,,,,,,1.4720538601722433,0.9905938392812034,,4.447853597238957,4.447853597238957,3.883930992831362,5.670922410913893,1.0,,,marRAB
6,7.0,7.0,7.0,1.0,1.0,0.0,,,0.0,20.0,20.0,5.771193526823771,5.771193526823771,116.0,116.0,-26.21133444164959,-26.21133444164959,85.04310344827586,405.51724137931035,380573.0,3280.801724137931,94060.0,810.8620689655172,,1867.0431034482758,-6.265058212044364,-2.0713448679829742,0.9430685798399726,2.9472258771813595,4.003059633545515,-1.678229074143521,0.7999226208445293,2.849301492008415,,,,,,,,,,,,,,,-0.28477537327474384,0.18195725607025068,,,,-0.23014942977588604,-0.1864698971270579,,,,1.5682620559774099,1.7636999602923158,,0.0,,,,,,380573.0,3280.801724137931,94060.0,810.8620689655172,-6.265058212044364,-2.0713448679829742,0.9430685798399726,2.9472258771813595,4.003059633545515,-1.678229074143521,0.7999226208445293,2.849301492008415,,,,,,,,,,,,,1.5682620559774099,1.7636999602923158,,3.4654876685459524,3.4654876685459524,5.771193526823771,6.647899130851177,1.0,,42.0,marRAB
7,8.0,8.0,8.0,1.0,1.0,0.0,,,0.0,11.0,11.0,3.5703102317916606,3.5703102317916606,40.0,40.0,-47.458496162351544,-47.458496162351544,81.2,3.95,115461.0,2886.525,31213.0,780.325,,1901.8,2.920225365668904,-1.916850532564454,0.7568936136633181,1.8897088227899395,-1.2531942168991872,-1.7168861936840192,0.9845920340571612,1.7445391237729877,,,,,,,,,,,,,,,0.22463272043606952,-0.09639955514609132,,,,-0.23960631657055675,-0.2146107742105024,,,,1.263982045328338,0.8958589035538393,,0.0,,,,,,115461.0,2886.525,31213.0,780.325,2.920225365668904,-1.916850532564454,0.7568936136633181,1.8897088227899395,-1.2531942168991872,-1.7168861936840192,0.9845920340571612,1.7445391237729877,,,,,,,,,,,,,1.263982045328338,0.8958589035538393,,3.0809647582025264,3.0809647582025264,3.5703102317916606,5.399248285253766,1.0,,,marRAB
8,9.0,9.0,9.0,1.0,1.0,0.0,,,0.0,18.0,18.0,6.358776550919086,6.358776550919086,115.0,115.0,-24.156891951767285,-24.156891951767285,80.97391304347826,333.0173913043478,313525.0,2726.304347826087,92410.0,803.5652173913044,,1843.208695652174,6.826354238352542,-0.6350980876824736,0.8763192322582438,2.69870668832442,-3.5896547270163346,-0.5961251870601577,0.7828100560160286,2.416277436933272,,,,,,,,,,,,,,,0.3413177119176271,-0.17948273635081674,,,,-0.0705664541869415,-0.06623613189557308,,,,1.5842283809899484,1.5701786810590723,,0.0,,,,,,313525.0,2726.304347826087,92410.0,803.5652173913044,6.826354238352542,-0.6350980876824736,0.8763192322582438,2.69870668832442,-3.5896547270163346,-0.5961251870601577,0.7828100560160286,2.416277436933272,,,,,,,,,,,,,1.5842283809899484,1.5701786810590723,,2.8307332166591563,2.8307332166591563,6.321487318701959,7.323233962172178,1.0,,-1.0,marRAB
9,10.0,10.0,10.0,1.0,1.0,0.0,,,0.0,22.0,22.0,5.408519198541696,5.408519198541696,119.0,119.0,-10.610101708990506,-10.610101708990506,96.27731092436974,64.41176470588235,722523.0,6071.621848739495,92102.0,773.9663865546219,,1805.142857142857,-6.566406693318735,-1.8857375965777088,2.6803795250826083,8.20066824987645,7.342022434515269,-1.9378010467316957,3.1706609690796497,8.107395251375213,,,,,,,,,,,,,,,-0.2736002788882806,0.30591760143813623,,,,-0.2357171995722136,-0.24222513084146197,,,,1.5285531815564108,1.2958139245457674,,0.0,,,,,,722523.0,6071.621848739495,92102.0,773.9663865546219,-6.566406693318735,-1.8857375965777088,2.6803795250826083,8.20066824987645,7.342022434515269,-1.9378010467316957,3.1706609690796497,8.107395251375213,,,,,,,,,,,,,1.5285531815564108,1.2958139245457674,,4.067656819251354,4.067656819251354,5.408519198541696,6.000528971354167,1.0,,-1.0,marRAB
